ComponentName,Project,CBO,CYCLO,DIT,ELOC,FanIn,FanOut,LCOM,LOC,LOCNAMM,NOA,NOC,NOM,NOMNAMM,NOPA,PMMM,PRB,WLOCNAMM,WMC,WMCNAMM,NMNOPARAM,CDSBP,CC,LC,LZC,RB,SC
example.Hello,ant-ivy-2.0.0-alpha2,1.00,1,1,11,3,4,0,11,11,0,0,1,1,0,0,0,6,1,0,0,0,0,0,0,0,0
example.ConfigurationsExample,ant-ivy-2.0.0-alpha2,7,4,1,34,0,10,0,34,34,0,0,1,1,0,0,0,32,4,0,0,0,0,0,0,0,0
filter.FilterProvider,ant-ivy-2.0.0-alpha2,0,4,1,18,1,3,0,18,18,0,0,1,1,0,0,0,16,4,0,1,0,0,0,0,0,0
filter.IFilter,ant-ivy-2.0.0-alpha2,0,1,1,3,17,0,0,3,3,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
filter.ccimpl.CCFilter,ant-ivy-2.0.0-alpha2,6,7,1,18,3,8,1,18,18,0,0,2,2,0,0,0,9.5,7,0,0,0,0,0,0,0,0
filter.hmimpl.HMFilter,ant-ivy-2.0.0-alpha2,3,5,1,18,3,4,0,18,18,0,0,1,1,0,0,0,16,5,0,0,0,0,0,0,0,0
filter.AbstractTestFilter,ant-ivy-2.0.0-alpha2,1,10,2,46,2,17,15,46,46,0,2,6,6,0,0,0,7.333333333,10,0,6,0,0,0,0,0,0
filter.ccimpl.CCFilterTest,ant-ivy-2.0.0-alpha2,2,2,2,5,0,0,0,5,5,0,0,1,1,0,0,0,3,2,0,1,0,0,0,0,0,0
filter.hmimpl.HMFilterTest,ant-ivy-2.0.0-alpha2,2,2,2,5,0,0,0,5,5,0,0,1,1,0,0,0,3,2,0,1,0,0,0,0,0,0
myapp.Main,ant-ivy-2.0.0-alpha2,3,1,1,9,22,5,0,9,9,0,0,1,1,0,0,0,7,1,0,0,0,0,0,0,0,0
depending.Main,ant-ivy-2.0.0-alpha2,0,4,1,17,16,4,0,17,17,0,0,1,1,0,0,0,12,4,0,0,0,0,0,0,0,0
standalone.Main,ant-ivy-2.0.0-alpha2,2,8,1,37,20,11,3,37,37,0,0,3,3,0,0,0,10.66666667,8,0,1,0,0,0,0,0,0
example.Hello,ant-ivy-2.0.0-alpha2,5,4,1,19,3,7,0,19,19,0,0,1,1,0,0,0,14,4,0,0,0,0,0,0,0,0
example.Hello,ant-ivy-2.0.0-alpha2,1,1,1,10,3,3,0,10,10,0,0,1,1,0,0,0,5,1,0,0,0,0,0,0,0,0
example.Hello,ant-ivy-2.0.0-alpha2,7,2,1,15,3,10,0,15,15,0,0,1,1,0,0,0,10,2,0,0,0,0,0,0,0,0
console.Main,ant-ivy-2.0.0-alpha2,5,10,1,47,21,13,3,47,47,2,0,3,3,0,0.333333333,0,14.33333333,10,0,1,0,0,0,0,0,0
find.FindFile,ant-ivy-2.0.0-alpha2,7,6,1,16,2,7,3,16,16,0,0,3,3,0,0,0,4.666666667,6,0,0,0,0,0,0,0,0
find.Main,ant-ivy-2.0.0-alpha2,11,6,1,29,22,15,1,29,29,0,0,2,2,0,0,0,13.5,6,0,1,0,0,0,0,0,0
list.ListFile,ant-ivy-2.0.0-alpha2,4,7,1,21,4,5,1,21,21,0,0,2,2,0,0.5,0,8,7,0,0,0,0,0,0,0,0
list.Main,ant-ivy-2.0.0-alpha2,11,6,1,26,22,15,1,26,26,0,0,2,2,0,0,0,12,6,0,1,0,0,0,0,0,0
size.FileSize,ant-ivy-2.0.0-alpha2,4,5,1,16,1,6,1,16,16,0,0,2,2,0,0,0,5.5,5,0,0,0,0,0,0,0,0
sizewhere.Main,ant-ivy-2.0.0-alpha2,9,6,1,25,22,12,1,25,25,0,0,2,2,0,0,0,11.5,6,0,1,0,0,0,0,0,0
sizewhere.SizeWhere,ant-ivy-2.0.0-alpha2,6,2,1,8,1,2,0,8,8,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0
version.Version,ant-ivy-2.0.0-alpha2,4,3,1,21,234,7,0,21,21,1,0,1,1,0,0,0,14,3,0,0,0,0,0,0,0,0
org.apache.ivy.Ivy,ant-ivy-2.0.0-alpha2,41,136,1,346,2036,83,1482,346,316,14,0,64,54,1,0.34375,0,5.592592593,136,0,23,0,0,0,0,0,0
org.apache.ivy.Ivy14,ant-ivy-2.0.0-alpha2,31,172,1,221,0,207,0,221,221,1,0,60,60,0,0.433333333,0,3.583333333,172,0,6,0,0,0,0,0,0
org.apache.ivy.Main,ant-ivy-2.0.0-alpha2,43,35,1,295,20,121,45,295,295,1,0,10,10,0,0.1,0,28.9,35,0,2,0,0,0,0,0,0
org.apache.ivy.ant.AddPathTask,ant-ivy-2.0.0-alpha2,8,25,2,59,0,11,0,59,56,3,0,12,11,0,0.5,0,4.363636364,25,0,5,0,0,0,0,0,0
org.apache.ivy.ant.AntBuildTrigger,ant-ivy-2.0.0-alpha2,16,26,2,101,2,37,44,101,92,5,0,12,9,0,0.083333333,0,8.888888889,26,0,4,0,0,0,0,0,0
org.apache.ivy.ant.AntCallTrigger,ant-ivy-2.0.0-alpha2,14,19,2,74,2,27,16,74,68,4,0,9,7,0,0.333333333,0,8.142857143,19,0,3,0,0,0,0,0,0
org.apache.ivy.ant.AntMessageImpl,ant-ivy-2.0.0-alpha2,5,15,1,63,1,17,40,63,63,5,0,12,12,0,0.083333333,0,6.166666667,15,0,1,0,0,0,0,0,0
org.apache.ivy.ant.IvyAntSettings,ant-ivy-2.0.0-alpha2,18,57,2,216,15,55,191,216,198,8,0,22,16,0,0.136363636,0,9.875,57,0,11,0,0,0,0,0,0
org.apache.ivy.ant.IvyAntVariableContainer,ant-ivy-2.0.0-alpha2,8,14,2,52,2,16,0,52,52,2,0,6,6,0,0,0,8,14,0,1,0,0,0,0,0,0
org.apache.ivy.ant.IvyArtifactProperty,ant-ivy-2.0.0-alpha2,7,11,2,45,3,18,0,45,39,2,0,5,3,0,0,0,10.66666667,11,0,3,0,0,0,0,0,0
org.apache.ivy.ant.IvyArtifactReport,ant-ivy-2.0.0-alpha2,27,44,2,174,3,103,60,174,168,2,0,13,11,0,0,0,14.63636364,44,0,3,0,0,0,0,0,0
org.apache.ivy.ant.IvyBuildList,ant-ivy-2.0.0-alpha2,26,68,2,306,21,96,389,306,288,12,0,31,25,0,0.064516129,0,10.84,68,0,12,0,0,0,0,0,1
org.apache.ivy.ant.IvyBuildList,ant-ivy-2.0.0-alpha2,26,68,2,306,21,96,389,306,288,12,0,31,25,0,0.064516129,0,10.84,68,0,12,0,0,0,0,0,1
org.apache.ivy.ant.IvyBuildList,ant-ivy-2.0.0-alpha2,26,68,2,306,21,96,389,306,288,12,0,31,25,0,0.064516129,0,10.84,68,0,12,0,0,0,0,0,1
org.apache.ivy.ant.IvyBuildList,ant-ivy-2.0.0-alpha2,26,68,2,306,21,96,389,306,288,12,0,31,25,0,0.064516129,0,10.84,68,0,12,0,0,0,0,0,1
org.apache.ivy.ant.IvyBuildList,ant-ivy-2.0.0-alpha2,26,68,2,306,21,96,389,306,288,12,0,31,25,0,0.064516129,0,10.84,68,0,12,0,0,0,0,0,1
org.apache.ivy.ant.IvyBuildList,ant-ivy-2.0.0-alpha2,26,68,2,306,21,96,389,306,288,12,0,31,25,0,0.064516129,0,10.84,68,0,12,0,0,0,0,0,1
org.apache.ivy.ant.IvyBuildList,ant-ivy-2.0.0-alpha2,26,68,2,306,21,96,389,306,288,12,0,31,25,0,0.064516129,0,10.84,68,0,12,0,0,0,0,0,1
org.apache.ivy.ant.IvyBuildList,ant-ivy-2.0.0-alpha2,26,68,2,306,21,96,389,306,288,12,0,31,25,0,0.064516129,0,10.84,68,0,12,0,0,0,0,0,1
org.apache.ivy.ant.IvyBuildList,ant-ivy-2.0.0-alpha2,26,68,2,306,21,96,389,306,288,12,0,31,25,0,0.064516129,0,10.84,68,0,12,0,0,0,0,0,1
