Project_name,Component_name,CBO,CYCLO,DIT,ELOC,FanIn,FanOut,LCOM,LOC,LOCNAMM,NOA,NOC,NOM,NOMNAMM,NOPA,PMMM,PRB,WLOCNAMM,WMC,WMCNAMM,NMNOPARAM,CDSBP,CC,LC,LZC,RB,SC
ant-ivy-2.0.0-alpha2,org.apache.ivy.Ivy,41.0,136.0,1.0,346.0,2036.0,83.0,1482.0,346.0,316.0,14.0,0.0,64.0,54.0,1.0,0.34375,0.0,5.592592593,136.0,0.0,23.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.Ivy14,31.0,172.0,1.0,221.0,0.0,207.0,0.0,221.0,221.0,1.0,0.0,60.0,60.0,0.0,0.433333333,0.0,3.583333333,172.0,0.0,6.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.Main,43.0,35.0,1.0,295.0,20.0,121.0,45.0,295.0,295.0,1.0,0.0,10.0,10.0,0.0,0.1,0.0,28.9,35.0,0.0,2.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.AddPathTask,8.0,25.0,2.0,59.0,0.0,11.0,0.0,59.0,56.0,3.0,0.0,12.0,11.0,0.0,0.5,0.0,4.363636364,25.0,0.0,5.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.AntBuildTrigger,16.0,26.0,2.0,101.0,2.0,37.0,44.0,101.0,92.0,5.0,0.0,12.0,9.0,0.0,0.083333333,0.0,8.888888889,26.0,0.0,4.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.AntCallTrigger,14.0,19.0,2.0,74.0,2.0,27.0,16.0,74.0,68.0,4.0,0.0,9.0,7.0,0.0,0.333333333,0.0,8.142857143,19.0,0.0,3.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.AntMessageImpl,5.0,15.0,1.0,63.0,1.0,17.0,40.0,63.0,63.0,5.0,0.0,12.0,12.0,0.0,0.083333333,0.0,6.166666667,15.0,0.0,1.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyAntSettings,18.0,57.0,2.0,216.0,15.0,55.0,191.0,216.0,198.0,8.0,0.0,22.0,16.0,0.0,0.136363636,0.0,9.875,57.0,0.0,11.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyAntVariableContainer,8.0,14.0,2.0,52.0,2.0,16.0,0.0,52.0,52.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,8.0,14.0,0.0,1.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyArtifactProperty,7.0,11.0,2.0,45.0,3.0,18.0,0.0,45.0,39.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,10.66666667,11.0,0.0,3.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyArtifactReport,27.0,44.0,2.0,174.0,3.0,103.0,60.0,174.0,168.0,2.0,0.0,13.0,11.0,0.0,0.0,0.0,14.63636364,44.0,0.0,3.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyBuildList,26.0,68.0,2.0,306.0,21.0,96.0,389.0,306.0,288.0,12.0,0.0,31.0,25.0,0.0,0.064516129,0.0,10.84,68.0,0.0,12.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyBuildList,26.0,68.0,2.0,306.0,21.0,96.0,389.0,306.0,288.0,12.0,0.0,31.0,25.0,0.0,0.064516129,0.0,10.84,68.0,0.0,12.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyBuildList,26.0,68.0,2.0,306.0,21.0,96.0,389.0,306.0,288.0,12.0,0.0,31.0,25.0,0.0,0.064516129,0.0,10.84,68.0,0.0,12.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyBuildList,26.0,68.0,2.0,306.0,21.0,96.0,389.0,306.0,288.0,12.0,0.0,31.0,25.0,0.0,0.064516129,0.0,10.84,68.0,0.0,12.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyBuildList,26.0,68.0,2.0,306.0,21.0,96.0,389.0,306.0,288.0,12.0,0.0,31.0,25.0,0.0,0.064516129,0.0,10.84,68.0,0.0,12.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyBuildList,26.0,68.0,2.0,306.0,21.0,96.0,389.0,306.0,288.0,12.0,0.0,31.0,25.0,0.0,0.064516129,0.0,10.84,68.0,0.0,12.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyBuildList,26.0,68.0,2.0,306.0,21.0,96.0,389.0,306.0,288.0,12.0,0.0,31.0,25.0,0.0,0.064516129,0.0,10.84,68.0,0.0,12.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyBuildList,26.0,68.0,2.0,306.0,21.0,96.0,389.0,306.0,288.0,12.0,0.0,31.0,25.0,0.0,0.064516129,0.0,10.84,68.0,0.0,12.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyBuildList,26.0,68.0,2.0,306.0,21.0,96.0,389.0,306.0,288.0,12.0,0.0,31.0,25.0,0.0,0.064516129,0.0,10.84,68.0,0.0,12.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyBuildList,26.0,68.0,2.0,306.0,21.0,96.0,389.0,306.0,288.0,12.0,0.0,31.0,25.0,0.0,0.064516129,0.0,10.84,68.0,0.0,12.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyBuildNumber,6.0,50.0,2.0,186.0,3.0,28.0,150.0,186.0,162.0,8.0,0.0,21.0,13.0,0.0,0.0,0.0,9.923076923,50.0,0.0,9.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyCacheFileset,7.0,12.0,2.0,45.0,3.0,17.0,0.0,45.0,42.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,12.0,12.0,0.0,2.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyCachePath,6.0,10.0,2.0,44.0,3.0,14.0,0.0,44.0,41.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,11.33333333,10.0,0.0,2.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyCacheTask,19.0,13.0,2.0,54.0,2.0,31.0,3.0,54.0,54.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,16.33333333,13.0,0.0,3.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyCheck,9.0,12.0,2.0,52.0,0.0,11.0,1.0,52.0,46.0,3.0,0.0,6.0,4.0,0.0,0.166666667,0.0,9.5,12.0,0.0,3.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyCleanCache,2.0,3.0,2.0,11.0,4.0,7.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyConfigure,7.0,17.0,2.0,54.0,17.0,19.0,0.0,54.0,54.0,1.0,0.0,11.0,11.0,0.0,0.727272727,0.0,4.636363636,17.0,0.0,3.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyConvertPom,9.0,11.0,2.0,41.0,4.0,8.0,0.0,41.0,35.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,9.333333333,11.0,0.0,3.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyDeliver,19.0,46.0,2.0,289.0,5.0,38.0,271.0,289.0,259.0,13.0,0.0,27.0,17.0,0.0,0.0,0.0,8.294117647,46.0,0.0,13.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyExtractFromSources,25.0,33.0,2.0,148.0,0.0,41.0,80.0,148.0,133.0,8.0,0.0,16.0,11.0,0.0,0.0625,0.0,10.09090909,33.0,0.0,7.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyFindRevision,6.0,19.0,2.0,60.0,3.0,9.0,25.0,60.0,45.0,5.0,0.0,11.0,6.0,0.0,0.0,0.0,5.833333333,19.0,0.0,6.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyInfo,13.0,8.0,2.0,45.0,0.0,24.0,0.0,45.0,42.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,18.0,8.0,0.0,2.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyInstall,8.0,41.0,2.0,121.0,3.0,10.0,191.0,121.0,97.0,11.0,0.0,23.0,15.0,0.0,0.0,0.0,5.4,41.0,0.0,12.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyListModules,6.0,25.0,2.0,79.0,3.0,8.0,63.0,79.0,58.0,7.0,0.0,15.0,8.0,0.0,0.0,0.0,5.75,25.0,0.0,8.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPostResolveTask,14.0,69.0,2.0,258.0,25.0,85.0,526.0,258.0,231.0,14.0,4.0,36.0,27.0,0.0,0.027777778,0.0,7.851851852,69.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPostResolveTask,14.0,69.0,2.0,258.0,25.0,85.0,526.0,258.0,231.0,14.0,4.0,36.0,27.0,0.0,0.027777778,0.0,7.851851852,69.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPostResolveTask,14.0,69.0,2.0,258.0,25.0,85.0,526.0,258.0,231.0,14.0,4.0,36.0,27.0,0.0,0.027777778,0.0,7.851851852,69.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPostResolveTask,14.0,69.0,2.0,258.0,25.0,85.0,526.0,258.0,231.0,14.0,4.0,36.0,27.0,0.0,0.027777778,0.0,7.851851852,69.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPostResolveTask,14.0,69.0,2.0,258.0,25.0,85.0,526.0,258.0,231.0,14.0,4.0,36.0,27.0,0.0,0.027777778,0.0,7.851851852,69.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPostResolveTask,14.0,69.0,2.0,258.0,25.0,85.0,526.0,258.0,231.0,14.0,4.0,36.0,27.0,0.0,0.027777778,0.0,7.851851852,69.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPostResolveTask,14.0,69.0,2.0,258.0,25.0,85.0,526.0,258.0,231.0,14.0,4.0,36.0,27.0,0.0,0.027777778,0.0,7.851851852,69.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPostResolveTask,14.0,69.0,2.0,258.0,25.0,85.0,526.0,258.0,231.0,14.0,4.0,36.0,27.0,0.0,0.027777778,0.0,7.851851852,69.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPostResolveTask,14.0,69.0,2.0,258.0,25.0,85.0,526.0,258.0,231.0,14.0,4.0,36.0,27.0,0.0,0.027777778,0.0,7.851851852,69.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPublish,19.0,75.0,2.0,313.0,4.0,64.0,769.0,313.0,280.0,21.0,0.0,43.0,33.0,0.0,0.046511628,0.0,5.727272727,75.0,0.0,20.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPublish,19.0,75.0,2.0,313.0,4.0,64.0,769.0,313.0,280.0,21.0,0.0,43.0,33.0,0.0,0.046511628,0.0,5.727272727,75.0,0.0,20.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPublish,19.0,75.0,2.0,313.0,4.0,64.0,769.0,313.0,280.0,21.0,0.0,43.0,33.0,0.0,0.046511628,0.0,5.727272727,75.0,0.0,20.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPublish,19.0,75.0,2.0,313.0,4.0,64.0,769.0,313.0,280.0,21.0,0.0,43.0,33.0,0.0,0.046511628,0.0,5.727272727,75.0,0.0,20.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPublish,19.0,75.0,2.0,313.0,4.0,64.0,769.0,313.0,280.0,21.0,0.0,43.0,33.0,0.0,0.046511628,0.0,5.727272727,75.0,0.0,20.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPublish,19.0,75.0,2.0,313.0,4.0,64.0,769.0,313.0,280.0,21.0,0.0,43.0,33.0,0.0,0.046511628,0.0,5.727272727,75.0,0.0,20.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPublish,19.0,75.0,2.0,313.0,4.0,64.0,769.0,313.0,280.0,21.0,0.0,43.0,33.0,0.0,0.046511628,0.0,5.727272727,75.0,0.0,20.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPublish,19.0,75.0,2.0,313.0,4.0,64.0,769.0,313.0,280.0,21.0,0.0,43.0,33.0,0.0,0.046511628,0.0,5.727272727,75.0,0.0,20.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPublish,19.0,75.0,2.0,313.0,4.0,64.0,769.0,313.0,280.0,21.0,0.0,43.0,33.0,0.0,0.046511628,0.0,5.727272727,75.0,0.0,20.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyPublish,19.0,75.0,2.0,313.0,4.0,64.0,769.0,313.0,280.0,21.0,0.0,43.0,33.0,0.0,0.046511628,0.0,5.727272727,75.0,0.0,20.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyReport,19.0,68.0,2.0,239.0,3.0,58.0,330.0,239.0,212.0,14.0,0.0,33.0,24.0,0.0,0.03030303,0.0,8.041666667,68.0,0.0,15.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyRepositoryReport,18.0,66.0,2.0,206.0,3.0,70.0,426.0,206.0,176.0,15.0,0.0,36.0,26.0,0.0,0.027777778,0.0,6.0,66.0,0.0,16.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyResolve,14.0,62.0,2.0,240.0,115.0,52.0,583.0,240.0,210.0,17.0,0.0,38.0,28.0,0.0,0.078947368,0.0,6.714285714,62.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyResolve,14.0,62.0,2.0,240.0,115.0,52.0,583.0,240.0,210.0,17.0,0.0,38.0,28.0,0.0,0.078947368,0.0,6.714285714,62.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyResolve,14.0,62.0,2.0,240.0,115.0,52.0,583.0,240.0,210.0,17.0,0.0,38.0,28.0,0.0,0.078947368,0.0,6.714285714,62.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyResolve,14.0,62.0,2.0,240.0,115.0,52.0,583.0,240.0,210.0,17.0,0.0,38.0,28.0,0.0,0.078947368,0.0,6.714285714,62.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyResolve,14.0,62.0,2.0,240.0,115.0,52.0,583.0,240.0,210.0,17.0,0.0,38.0,28.0,0.0,0.078947368,0.0,6.714285714,62.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyResolve,14.0,62.0,2.0,240.0,115.0,52.0,583.0,240.0,210.0,17.0,0.0,38.0,28.0,0.0,0.078947368,0.0,6.714285714,62.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyResolve,14.0,62.0,2.0,240.0,115.0,52.0,583.0,240.0,210.0,17.0,0.0,38.0,28.0,0.0,0.078947368,0.0,6.714285714,62.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyResolve,14.0,62.0,2.0,240.0,115.0,52.0,583.0,240.0,210.0,17.0,0.0,38.0,28.0,0.0,0.078947368,0.0,6.714285714,62.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyResolve,14.0,62.0,2.0,240.0,115.0,52.0,583.0,240.0,210.0,17.0,0.0,38.0,28.0,0.0,0.078947368,0.0,6.714285714,62.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyResolve,14.0,62.0,2.0,240.0,115.0,52.0,583.0,240.0,210.0,17.0,0.0,38.0,28.0,0.0,0.078947368,0.0,6.714285714,62.0,0.0,18.0,0,0,0,0,0,1
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyRetrieve,4.0,14.0,2.0,47.0,4.0,24.0,8.0,47.0,41.0,4.0,0.0,8.0,6.0,0.0,0.0,0.0,5.333333333,14.0,0.0,4.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyTask,14.0,82.0,2.0,220.0,25.0,66.0,364.0,220.0,217.0,4.0,18.0,28.0,27.0,1.0,0.321428571,0.0,7.703703704,82.0,0.0,9.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.IvyVar,9.0,25.0,2.0,92.0,27.0,18.0,38.0,92.0,77.0,5.0,0.0,12.0,7.0,0.0,0.0,0.0,9.571428571,25.0,0.0,6.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.ant.PackageMapping,1.0,14.0,1.0,36.0,1.0,1.0,16.0,36.0,24.0,4.0,0.0,9.0,5.0,0.0,0.111111111,0.0,3.0,14.0,0.0,5.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.ExecutionRelativeUrlResolver,2.0,4.0,2.0,8.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.IvyContext,14.0,59.0,1.0,190.0,69.0,39.0,230.0,190.0,184.0,8.0,0.0,24.0,22.0,0.0,0.291666667,0.0,7.727272727,59.0,0.0,13.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.IvyPatternHelper,14.0,82.0,1.0,304.0,155.0,84.0,351.0,304.0,304.0,12.0,0.0,27.0,27.0,10.0,0.37037037,0.0,8.925925926,82.0,0.0,1.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.IvyThread,0.0,10.0,2.0,38.0,5.0,2.0,45.0,38.0,38.0,1.0,0.0,10.0,10.0,0.0,0.2,0.0,3.1,10.0,0.0,3.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.NormalRelativeUrlResolver,2.0,4.0,2.0,8.0,4.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.RelativeUrlResolver,3.0,9.0,1.0,37.0,13.0,3.0,1.0,37.0,37.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,16.0,9.0,0.0,0.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.cache.ArtifactOrigin,0.0,15.0,1.0,58.0,75.0,3.0,0.0,58.0,51.0,3.0,0.0,6.0,5.0,0.0,0.166666667,0.0,8.2,15.0,0.0,4.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.cache.CacheManager,14.0,81.0,1.0,204.0,188.0,93.0,214.0,204.0,201.0,2.0,0.0,29.0,28.0,0.0,0.034482759,0.0,7.142857143,81.0,0.0,2.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.check.CheckEngine,19.0,8.0,1.0,78.0,5.0,25.0,0.0,78.0,78.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,37.0,8.0,0.0,0.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.deliver.DefaultPublishingDRResolver,2.0,2.0,1.0,5.0,4.0,1.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.deliver.DeliverEngine,24.0,10.0,1.0,98.0,6.0,49.0,1.0,98.0,98.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,31.66666667,10.0,0.0,0.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.deliver.DeliverOptions,3.0,47.0,1.0,131.0,10.0,2.0,120.0,131.0,97.0,8.0,0.0,20.0,14.0,0.0,0.0,0.0,6.0,47.0,0.0,10.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.deliver.PublishingDependencyRevisionResolver,2.0,3.0,1.0,13.0,12.0,0.0,0.0,13.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.event.EventManager,5.0,19.0,1.0,55.0,37.0,21.0,0.0,55.0,55.0,1.0,0.0,11.0,11.0,0.0,0.454545455,0.0,4.727272727,19.0,0.0,0.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.event.FilteredIvyListener,1.0,7.0,1.0,19.0,3.0,2.0,0.0,19.0,13.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,4.5,7.0,0.0,2.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.event.IvyEvent,7.0,21.0,1.0,68.0,50.0,25.0,54.0,68.0,55.0,3.0,5.0,13.0,10.0,0.0,0.153846154,0.0,4.7,21.0,0.0,5.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.event.IvyEventFilter,8.0,20.0,1.0,81.0,16.0,23.0,6.0,81.0,81.0,6.0,0.0,5.0,5.0,0.0,0.2,0.0,17.2,20.0,0.0,0.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.event.IvyListener,1.0,1.0,1.0,3.0,41.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.event.download.DownloadEvent,2.0,7.0,2.0,15.0,12.0,5.0,0.0,15.0,12.0,1.0,3.0,3.0,2.0,0.0,0.333333333,0.0,4.5,7.0,0.0,1.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.event.download.EndArtifactDownloadEvent,5.0,8.0,2.0,29.0,1.0,10.0,0.0,29.0,23.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,18.0,8.0,0.0,2.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.event.download.NeedArtifactEvent,2.0,4.0,2.0,12.0,1.0,2.0,0.0,12.0,9.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,5.0,4.0,0.0,1.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.event.download.PrepareDownloadEvent,2.0,5.0,2.0,11.0,1.0,0.0,0.0,11.0,8.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,5.0,0.0,1.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.event.download.StartArtifactDownloadEvent,3.0,7.0,2.0,19.0,1.0,5.0,0.0,19.0,13.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,8.0,7.0,0.0,2.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.event.resolve.EndResolveDependencyEvent,3.0,5.0,2.0,18.0,1.0,4.0,0.0,18.0,15.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,11.0,5.0,0.0,1.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.event.resolve.EndResolveEvent,2.0,3.0,2.0,11.0,4.0,0.0,0.0,11.0,8.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.event.resolve.ResolveDependencyEvent,3.0,5.0,2.0,18.0,8.0,6.0,0.0,18.0,12.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,8.0,5.0,0.0,2.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.event.resolve.ResolveEvent,2.0,3.0,2.0,14.0,38.0,2.0,0.0,14.0,11.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,1.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.event.resolve.StartResolveDependencyEvent,2.0,1.0,2.0,6.0,1.0,0.0,0.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0,0,0,0,0,0
ant-ivy-2.0.0-alpha2,org.apache.ivy.core.event.resolve.StartResolveEvent,1.0,1.0,2.0,6.0,28.0,0.0,0.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0,0,0,0,0,0
